idzap          id_el                                               mxlen_e  name_e                                                                                                       desc_e                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               type_d  type_e  form_e  
-------------- --------------------------------------------------- -------- ------------------------------------------------------------------------------------------------------------ -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- ------- ------- ------- 
A_0100/00100   ZL_LIST/ZGLV                                        NULL     Заголовок файла                                                                                              Информация о передаваемом файле                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      A       О       S
A_0100/00200   ZL_LIST/SCHET                                       NULL     Счёт                                                                                                         Информация о счёте                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   A       О       S
A_0100/00300   ZL_LIST/ZAP                                         NULL     Записи                                                                                                       Записи о случаях оказания медицинской помощи                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         A       ОМ      S
A_0200/00400   ZL_LIST/ZGLV/VERSION                                5        Версия взаимодействия                                                                                        Текущей редакции соответствует значение «3.1».                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       A       О       T
A_0200/00500   ZL_LIST/ZGLV/DATA                                   10       Дата                                                                                                         В формате ГГГГ-ММ-ДД                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       D
A_0200/00600   ZL_LIST/ZGLV/OKATO_OMS                              5        Код ОКАТО территории, указавшей причины для дополнительного рассмотрения отдельных позиций реестра счета     Код территории проставляется в соответствии с классификатором ОКАТО, О002. (Код ОКАТО ТС, дополненный справа нулями до 5 знаков).                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    A       О       T
A_0300/00700   ZL_LIST/SCHET/YEAR                                  4        Отчетный год                                                                                                 NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       N
A_0300/00800   ZL_LIST/SCHET/MONTH                                 2        Отчетный месяц                                                                                               NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       N
A_0300/00900   ZL_LIST/SCHET/NSCHET                                15       Номер счёта                                                                                                  NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       T
A_0300/01000   ZL_LIST/SCHET/DSCHET                                10       Дата выставления счёта                                                                                       В формате ГГГГ-ММ-ДД                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       D
A_0300/01100   ZL_LIST/SCHET/SUMMAV                                15.2     Сумма, выставленная на оплату                                                                                NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       N
A_0300/01200   ZL_LIST/SCHET/SUMMAP                                15.2     Сумма, принятая к оплате                                                                                     NULL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 A       О       N
A_0300/01300   ZL_LIST/SCHET/SANK_MEK                              15.2     Финансовые санкции (МЭК)                                                                                     Сумма, снятая с оплаты по результатам МЭК, заполняется после проведения МЭК.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         A       У       N
A_0300/01400   ZL_LIST/SCHET/SANK_MEE                              15.2     Финансовые санкции (МЭЭ)                                                                                     Сумма, снятая с оплаты по результатам МЭЭ, заполняется после проведения МЭЭ.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         A       У       N
A_0300/01500   ZL_LIST/SCHET/SANK_EKMP                             15.2     Финансовые санкции (ЭКМП)                                                                                    Сумма, снятая с оплаты по результатам ЭКМП, заполняется после проведения ЭКМП.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       A       У       N
A_0400/01600   ZL_LIST/ZAP/N_ZAP                                   8        Номер позиции записи                                                                                         Уникально идентифицирует запись в пределах счета.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    A       О       N
